Gene,ENSEMBL,Gene Synonyms,Subprocess,Class,Group,Hallmark
KLHL36,ENSG00000135686,C16orf44,Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,CRL family,Proteostasis
KLHL38,ENSG00000175946,"C8orfK36, C8ORFK36",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,CRL family,Proteostasis
KLHL4,ENSG00000102271,"DKELCHL, KHL4, KIAA1687",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,CRL family,Proteostasis
KLHL40,ENSG00000157119,"KBTBD5, NEM8, SRYP, SYRP",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,CRL family,Proteostasis
KLHL41,ENSG00000239474,"KBTBD10, Krp1, KRP1, SARCOSIN",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,CRL family,Proteostasis
KLHL42,ENSG00000087448,"Ctb9, KIAA1340, KLHDC5",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,CRL family,Proteostasis
KLHL5,ENSG00000109790,(none known),Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,CRL family,Proteostasis
KLHL6,ENSG00000172578,(none known),Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,CRL family,Proteostasis
KLHL7,ENSG00000122550,"CISS3, KLHL6, PERCHING, SBBI26",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,CRL family,Proteostasis
KLHL8,ENSG00000145332,KIAA1378,Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,CRL family,Proteostasis
KLHL9,ENSG00000198642,KIAA1354,Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,CRL family,Proteostasis
KBTBD11,ENSG00000176595,"CMLAP, KIAA0711, KLHDC7C",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,CRL family,Proteostasis
KBTBD13,ENSG00000234438,"HCG1645727, NEM6",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,CRL family,Proteostasis
LZTR1,ENSG00000099949,"BTBD29, LZTR-1, NS10, NS2, SWNTS2, TCFL2",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,CRL family,Proteostasis
KCTD3,ENSG00000136636,NY-REN-45,Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,CRL family,Proteostasis
SHKBP1,ENSG00000160410,"PP203, Sb1, SB1",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,CRL family,Proteostasis
KCTD2,ENSG00000180901,KIAA0176,Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,CRL family,Proteostasis
KCTD5,ENSG00000167977,(none known),Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,CRL family,Proteostasis
KCTD6,ENSG00000168301,KCASH3,Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,CRL family,Proteostasis
KCTD9,ENSG00000104756,BTBD27,Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,CRL family,Proteostasis
KCTD10,ENSG00000110906,"BTBD28, hBACURD3, MSTP028, ULR061, ULRO61",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,CRL family,Proteostasis
KCTD11,ENSG00000213859,"C17orf36, KCASH1, REN, REN/KCTD11",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,CRL family,Proteostasis
KCTD13,ENSG00000174943,"BACURD1, FKSG86, hBACURD1, PDIP1, POLDIP1",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,CRL family,Proteostasis
KCTD17,ENSG00000100379,(none known),Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,CRL family,Proteostasis
KCTD20,ENSG00000112078,"C6orf69, dJ108K11.3",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,CRL family,Proteostasis
KCTD21,ENSG00000188997,KCASH2,Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,CRL family,Proteostasis
TNFAIP1,ENSG00000109079,"B12, B61, BACURD2, BTBD34, EDP1, hBACURD2",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,CRL family,Proteostasis
SPOP,ENSG00000121067,"BTBD32, NEDMACE, NEDMIDF, NSDVS1, NSDVS2, TEF2",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,CRL family,Proteostasis
SPOPL,ENSG00000144228,BTBD33,Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,CRL family,Proteostasis
ABTB1,ENSG00000114626,"BPOZ, BTB3, BTBD21, EF1ABP, PP2259",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,CRL family,Proteostasis
ABTB2,ENSG00000166016,"ABTB2A, BTBD22",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,CRL family,Proteostasis
ANKFY1,ENSG00000185722,"ANKHZN, BTBD23, KIAA1255, ZFYVE14",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,CRL family,Proteostasis
IBTK,ENSG00000005700,"BTBD26, BTKI, KIAA1417",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,CRL family,Proteostasis
ABTB3,ENSG00000151136,"ABTB2B, BTBD11",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,CRL family,Proteostasis
RCBTB1,ENSG00000136144,"CLLD7, CLLL7, E4.5, GLP, RDEOA",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,CRL family,Proteostasis
RCBTB2,ENSG00000136161,"CHC1L, RLG",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,CRL family,Proteostasis
ARMC5,ENSG00000140691,AIMAH2,Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,CRL family,Proteostasis
RHOBTB1,ENSG00000072422,KIAA0740,Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,CRL family,Proteostasis
RHOBTB3,ENSG00000164292,KIAA0878,Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,CRL family,Proteostasis
RHOBTB2,ENSG00000008853,"DBC2, EIEE64, KIAA0717, p83",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,CRL family,Proteostasis
BTBD10,ENSG00000148925,"GMRP-1, GMRP1",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,CRL family,Proteostasis
BTBD8,ENSG00000189195,KIAA1107,Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,CRL family,Proteostasis
GMCL2,ENSG00000244234,"GCL, GMCL1L, GMCL1P1",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,CRL family,Proteostasis
KLHDC1,ENSG00000197776,MST025,Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,CRL family,Proteostasis
KLHDC2,ENSG00000165516,"HCA33, HCLP-1, HCLP1, LCP",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,CRL family,Proteostasis
KLHDC3,ENSG00000124702,"dJ20C7.3, PEAS",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,CRL family,Proteostasis
KLHDC10,ENSG00000128607,"KIAA0265, slim",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,CRL family,Proteostasis
FEM1A,ENSG00000141965,EPRAP,Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,CRL family,Proteostasis
FEM1C,ENSG00000145780,"EUROIMAGE686608, EUROIMAGE783647, FEM1A, KIAA1785",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,CRL family,Proteostasis
APPBP2,ENSG00000062725,"APP-BP2, HS.84084, PAT1",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,CRL family,Proteostasis
LRR1,ENSG00000165501,"4-1BBLRR, LRR-1, PPIL5",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,CRL family,Proteostasis
PRAME,ENSG00000185686,"CT130, MAPE, OIP-4, OIP4",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,CRL family,Proteostasis
PRAMEF6,ENSG00000232423,(none known),Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,CRL family,Proteostasis
PRAMEF9,ENSG00000204501,(none known),Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,CRL family,Proteostasis
ZER1,ENSG00000160445,"C9orf60, ZYG, ZYG11BL",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,CRL family,Proteostasis
ZYG11A,ENSG00000203995,ZYG11,Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,CRL family,Proteostasis
ZYG11B,ENSG00000162378,"KIAA1730, ZYG11",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,CRL family,Proteostasis
ZSWIM8,ENSG00000214655,KIAA0913,Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,CRL family,Proteostasis
ANKRD9,ENSG00000156381,(none known),Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,CRL family,Proteostasis
FEM1B,ENSG00000169018,"F1AA, F1A-ALPHA, FEM1-beta",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,CRL family,Proteostasis
PRPF19,ENSG00000110107,"hPSO4, NMP200, PRP19, PSO4, SNEV, UBOX4",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,UBOX,Proteostasis
WDSUB1,ENSG00000196151,"UBOX6, WDSAM1",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,UBOX,Proteostasis
UBOX5,ENSG00000185019,"hUIP5, RNF37, UBCE7IP5, UIP5",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,UBOX,Proteostasis
TRIM21,ENSG00000132109,"RNF81, RO52, Ro/SSA, SSA, SSA1",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,UBOX,Proteostasis
STUB1,ENSG00000103266,"CHIP, HSPABP2, NY-CO-7, SCA48, SCAR16, SDCCAG7, UBOX1",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,UBOX,Proteostasis
UBE4A,ENSG00000110344,"E4, KIAA0126, UBOX2, UFD2",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,UBOX,Proteostasis
UBE4B,ENSG00000130939,"E4, HDNB1, UBOX3, UFD2, UFD2A",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,UBOX,Proteostasis
RBBP6,ENSG00000122257,"MY038, P2P-R, P2PR, PACT, RBQ-1, RBQ1, SNAMA",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,UBOX,Proteostasis
NOSIP,ENSG00000142546,CGI-25,Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,UBOX,Proteostasis
PPIL2,ENSG00000100023,"CYC4, Cyp-60, CYP60, hCyP-60, UBOX7",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,UBOX,Proteostasis
ANKIB1,ENSG00000001629,KIAA1386,Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RBR,Proteostasis
ARIH1,ENSG00000166233,"ARI, HARI, HHARI, UBCH7BP",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RBR,Proteostasis
ARIH2,ENSG00000177479,"ARI2, TRIAD1",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RBR,Proteostasis
CUL9,ENSG00000112659,"H7AP1, KIAA0708, PARC",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RBR,Proteostasis
RNF14,ENSG00000013561,"ARA54, HFB30, HRIHFB2038, TRIAD2",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RBR,Proteostasis
PRKN,ENSG00000185345,"AR-JP, LPRS2, PARK2, PDJ",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RBR,Proteostasis
RBCK1,ENSG00000125826,"C20orf18, HOIL-1, HOIL1, PBMEI, PGBM1, RBCK2, RNF54, UBCE7IP3, XAP3, XAP4, ZRANB4",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RBR,Proteostasis
RNF31,ENSG00000092098,"HOIP, Paul, ZIBRA",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RBR,Proteostasis
RNF19A,ENSG00000034677,RNF19,Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RBR,Proteostasis
RNF19B,ENSG00000116514,"IBRDC3, NKLAM",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RBR,Proteostasis
RNF144A,ENSG00000151692,"hUIP4, KIAA0161, RNF144, UBCE7IP4",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RBR,Proteostasis
RNF144B,ENSG00000137393,"bA528A10.3, IBRDC2, p53RFP, P53RFP, PIR2",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RBR,Proteostasis
RNF217,ENSG00000146373,"C6orf172, dJ84N20.1, IBRDC1, OSTL",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RBR,Proteostasis
RNF216,ENSG00000011275,"CAHH, TRIAD3, U7I1, UBCE7IP1, ZIN",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RBR,Proteostasis
MYCBP2,ENSG00000005810,"Myc-bp2, PAM, Phr, PHR1",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RCR,Proteostasis
MID1,ENSG00000101871,"BBBG1, FXY, GBBB1, MIDIN, OGS1, OS, OSX, RNF59, TRIM18, XPRF, ZNFXY",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
MID2,ENSG00000080561,"FXY2, MRX101, RNF60, TRIM1",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM36,ENSG00000152503,"ANPH, HAPRIN, RBCC728, RNF98",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM9,ENSG00000100505,"KIAA0282, RNF91, SPRING",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM67,ENSG00000119283,TNL,Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM46,ENSG00000163462,"GENEY, TRIFIC",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM54,ENSG00000138100,"MURF, MURF-3, muRF3, MURF3, RNF30",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM55,ENSG00000147573,"MURF-2, muRF2, MURF2, RNF29",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM63,ENSG00000158022,"IRF, MURF1, MURF2, RNF28, SMRZ",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM42,ENSG00000155890,"PPP1R40, T4A1",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM21,ENSG00000132109,"RNF81, RO52, Ro/SSA, SSA, SSA1",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM6,ENSG00000121236,RNF89,Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM10,ENSG00000204613,"HERF1, RFB30, RNF9",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM15,ENSG00000204610,"RNF93, ZNF178, ZNFB7",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM17,ENSG00000162931,"RBCC, RNF16, terf, TERF",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM50,ENSG00000146755,TRIM50A,Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM5,ENSG00000132256,"RNF88, TRIM5alpha",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM22,ENSG00000132274,"GPSTAF50, RNF94, STAF50",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM47,ENSG00000132481,"GOA, RNF100",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM7,ENSG00000146054,"GNIP, RNF90",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM27,ENSG00000204713,"RFP, RNF76",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM11,ENSG00000154370,"BIA1, RNF92",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM26,ENSG00000234127,"AFP, RNF95, ZNF173",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM35,ENSG00000104228,"HLS5, KIAA1098, MAIR",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM38,ENSG00000112343,"RNF15, RORET",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM39,ENSG00000204599,"RNF23, TFP, TRIM39B",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM41,ENSG00000146063,RINCK,Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM58,ENSG00000162722,BIA2,Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM60,ENSG00000176979,"RNF129, RNF33",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM62,ENSG00000116525,DEAR1,Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM72,ENSG00000177238,MG53,Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM75,ENSG00000250374,TRIM75P,Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM43,ENSG00000144015,TRIM43A,Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM4,ENSG00000146833,RNF87,Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM34,ENSG00000258659,"IFP1, RNF21",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM64,ENSG00000204450,"C11orf28, TRIM64A",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM65,ENSG00000141569,4732463G12Rik,Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM69,ENSG00000185880,"HSD-34, HSD34, RNF36, Trif",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM25,ENSG00000121060,"EFP, RNF147, Z147, ZNF147",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIML1,ENSG00000184108,RNF209,Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM77,ENSG00000214414,TRIM77P,Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM43B,ENSG00000144010,(none known),Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM64B,ENSG00000189253,(none known),Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM64C,ENSG00000214891,(none known),Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM68,ENSG00000167333,"GC109, RNF137, SS-56, SS56",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM51,ENSG00000124900,"SPRYD5, TRIM51A",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM49,ENSG00000168930,"RNF18, TRIM49A, TRIM49L2",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM49B,ENSG00000182053,RNF18B,Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM49C,ENSG00000204449,TRIM49L2,Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM49D1,ENSG00000223417,"TRIM49D, TRIM49D1P, TRIM49D2, TRIM49D2P, TRIM49DP, TRIM49L, TRIM49L1",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM24,ENSG00000122779,"hTIF1, PTC6, RNF82, TF1A, TIF1, TIF1A, TIF1ALPHA",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM28,ENSG00000130726,"KAP1, PPP1R157, RNF96, TF1B, TIF1B",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM33,ENSG00000197323,"ECTO, KIAA1113, PTC7, RFG7, TF1G, TIF1G, TIF1GAMMA, TIFGAMMA",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM45,ENSG00000134253,RNF99,Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM2,ENSG00000109654,"CMT2R, KIAA0517, RNF86",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM3,ENSG00000110171,"BERP, HAC1, RNF22, RNF97",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM71,ENSG00000206557,"HYDCC1, LIN-41, LIN41",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM32,ENSG00000119401,"BBS11, HT2A, LGMD2H, LGMDR8, TATIP",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM56,ENSG00000169871,RNF109,Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM37,ENSG00000108395,"MUL, POB1, TEF3",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM23,ENSG00000113595,"ARD1, ARFD1, RNF46",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM13,ENSG00000204977,"CAR, DLEU5, LEU5, RFP2, RNF77",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM59,ENSG00000213186,"IFT80L, MRF1, RNF104, TRIM57, TSBF1",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
PML,ENSG00000140464,"MYL, PP8675, RNF71, TRIM19",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
RNF207,ENSG00000158286,C1orf188,Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM31,ENSG00000204616,"C6orf13, HCG1, HCGI, RNF",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM8,ENSG00000171206,"GERP, RNF27",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM73,ENSG00000178809,TRIM50B,Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM74,ENSG00000155428,TRIM50C,Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
RNF187,ENSG00000168159,"RACO-1, RACO1",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM48,ENSG00000150244,RNF101,Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM61,ENSG00000183439,RNF35,Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM52,ENSG00000183718,RNF102,Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM40,ENSG00000204614,RNF35,Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
MEFV,ENSG00000103313,"FMF, MEF, PAAND, TRIM20",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
CMYA5,ENSG00000164309,"C5orf10, DTNBP2, SPRYD2, TRIM76",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM14,ENSG00000106785,KIAA0129,Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM16,ENSG00000221926,EBBP,Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM16L,ENSG00000291110,TRIM70,Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIML2,ENSG00000179046,SPRYD6,Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM66,ENSG00000166436,"C11orf29, KIAA0298, TIF1D, TIF1DELTA",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM29,ENSG00000137699,ATDC,Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
TRIM44,ENSG00000166326,"AN3, DIPB, HSA249128, MC7",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
RFPL1,ENSG00000128250,"RFPL1L, RNF78",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
RFPL2,ENSG00000128253,RNF79,Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
RFPL3,ENSG00000128276,RNF120,Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
RFPL4A,ENSG00000223638,"RFPL4, RNF210",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
RFPL4B,ENSG00000251258,RNF211,Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
RFPL4AL1,ENSG00000229292,RNF210B,Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
RNF39,ENSG00000204618,"FAP216, HZF, HZFW, LIRF",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
RNF123,ENSG00000164068,"FP1477, KPC1",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
RNF135,ENSG00000181481,"L13, MMFD, REUL, Riplet",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
RSPRY1,ENSG00000159579,"KIAA1972, SEMDFA",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
BIRC2,ENSG00000110330,"API1, c-IAP1, cIAP1, Hiap-2, HIAP2, MIHB, RNF48",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
BIRC3,ENSG00000023445,"AIP1, API2, c-IAP2, CIAP2, HAIP1, HIAP1, IAP-1, MALT2, MIHC, RNF49",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
BIRC7,ENSG00000101197,"KIAP, LIVIN, ML-IAP, MLIAP, RNF50",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
BIRC8,ENSG00000293247,"hILP2, ILP-2, ILP2, RNF136",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
XIAP,ENSG00000101966,"API3, BIRC4, hIAP-3, hIAP3, IAP-3, IAP3, ILP1, MIHA, XLP2",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
BRCA1,ENSG00000012048,"BRCAI, BRCC1, BROVCA1, FANCS, IRIS, PNCA4, PPP1R53, PSCP, RNF53",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
BARD1,ENSG00000138376,(none known),Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
BRAP,ENSG00000089234,"BRAP2, IMP, RNF52",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
CBL,ENSG00000110395,"CBL2, C-CBL, FRA11B, NSLL, RNF55",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
CBLB,ENSG00000114423,"Cbl-b, Nbla00127, RNF56",Ubiquitin Proteasome System,E3 ubiquitin and UBL ligases,RING,Proteostasis
